Target,Horizon_M,Quantile,MAE,WAPE,Bias,Pinball,Coverage,N,Model
orders,1,P50,11.66,0.26,3.2,5.8279,0.5588,68,arima
orders,1,P90,39.31,0.877,39.01,4.0528,0.9265,68,arima
orders,2,P50,4.88,0.122,0.82,2.438,0.5652,69,arima
orders,2,P90,49.61,1.2411,49.61,4.9609,1.0,69,arima
orders,3,P50,8.98,0.2039,0.71,4.4912,0.4,70,arima
orders,3,P90,60.1,1.3641,60.1,6.01,1.0,70,arima
orders,4,P50,21.81,0.4147,14.13,10.9026,0.5571,70,arima
orders,4,P90,93.14,1.7711,93.14,9.3136,1.0,70,arima
orders,5,P50,12.13,0.2591,-3.71,6.0636,0.5286,70,arima
orders,5,P90,73.23,1.5647,73.23,7.323,1.0,70,arima
orders,6,P50,10.62,0.2078,2.06,5.3086,0.3714,70,arima
orders,6,P90,93.05,1.821,93.05,9.3052,1.0,70,arima
sales,1,P50,7.54,0.1668,-1.42,3.7686,0.4559,68,arima
sales,1,P90,22.67,0.5016,22.17,2.4652,0.9118,68,arima
sales,2,P50,5.98,0.1511,-1.25,2.9879,0.4928,69,arima
sales,2,P90,33.92,0.8576,33.92,3.392,1.0,69,arima
sales,3,P50,11.36,0.237,2.61,5.6811,0.4783,69,arima
sales,3,P90,44.71,0.9327,44.57,4.5271,0.971,69,arima
sales,4,P50,11.98,0.2338,1.91,5.9877,0.4571,70,arima
sales,4,P90,51.5,1.0056,51.5,5.1501,1.0,70,arima
sales,5,P50,8.67,0.1895,-0.37,4.3361,0.4571,70,arima
sales,5,P90,59.37,1.2976,59.37,5.9374,1.0,70,arima
sales,6,P50,14.59,0.2581,4.85,7.2929,0.4429,70,arima
sales,6,P90,70.58,1.2488,70.58,7.0575,1.0,70,arima
