Target,Horizon_M,Quantile,MAE,WAPE,Bias,Pinball,Coverage,N,Model
orders,1,P50,4.94,0.1102,-4.6,2.4707,0.4412,68,lightgbm
orders,1,P90,9.83,0.2194,9.67,1.0487,0.8088,68,lightgbm
orders,2,P50,5.34,0.1335,-3.23,2.6687,0.4058,69,lightgbm
orders,2,P90,13.58,0.3396,13.57,1.3612,0.8986,69,lightgbm
orders,3,P50,5.84,0.1325,-5.33,2.9182,0.3571,70,lightgbm
orders,3,P90,7.41,0.1681,7.28,0.7918,0.8857,70,lightgbm
orders,4,P50,10.24,0.1948,-9.05,5.1211,0.3286,70,lightgbm
orders,4,P90,6.79,0.1291,6.66,0.7331,0.8,70,lightgbm
orders,5,P50,7.94,0.1697,-5.25,3.9712,0.3857,70,lightgbm
orders,5,P90,12.42,0.2654,12.35,1.2707,0.8857,70,lightgbm
orders,6,P50,5.12,0.1002,-4.3,2.5603,0.4,70,lightgbm
orders,6,P90,8.54,0.167,8.4,0.9084,0.9571,70,lightgbm
sales,1,P50,3.64,0.0806,-2.59,1.8203,0.4118,68,lightgbm
sales,1,P90,6.67,0.1475,6.54,0.7192,0.8235,68,lightgbm
sales,2,P50,2.35,0.0594,0.09,1.1751,0.4783,69,lightgbm
sales,2,P90,11.4,0.2883,11.37,1.1536,0.8551,69,lightgbm
sales,3,P50,5.12,0.1068,-3.6,2.5605,0.3623,69,lightgbm
sales,3,P90,8.75,0.1824,8.67,0.9068,0.7971,69,lightgbm
sales,4,P50,7.3,0.1426,-6.18,3.6523,0.3143,70,lightgbm
sales,4,P90,7.98,0.1558,7.84,0.8539,0.8857,70,lightgbm
sales,5,P50,3.85,0.0841,-2.28,1.9241,0.4143,70,lightgbm
sales,5,P90,9.67,0.2114,9.48,1.0442,0.8429,70,lightgbm
sales,6,P50,8.2,0.1451,-7.52,4.0999,0.3143,70,lightgbm
sales,6,P90,9.09,0.1609,8.89,0.9898,0.8,70,lightgbm
orders,1,P50,11.66,0.26,3.2,5.8279,0.5588,68,arima
orders,1,P90,39.31,0.877,39.01,4.0528,0.9265,68,arima
orders,2,P50,4.88,0.122,0.82,2.438,0.5652,69,arima
orders,2,P90,49.61,1.2411,49.61,4.9609,1.0,69,arima
orders,3,P50,8.98,0.2039,0.71,4.4912,0.4,70,arima
orders,3,P90,60.1,1.3641,60.1,6.01,1.0,70,arima
orders,4,P50,21.81,0.4147,14.13,10.9026,0.5571,70,arima
orders,4,P90,93.14,1.7711,93.14,9.3136,1.0,70,arima
orders,5,P50,12.13,0.2591,-3.71,6.0636,0.5286,70,arima
orders,5,P90,73.23,1.5647,73.23,7.323,1.0,70,arima
orders,6,P50,10.62,0.2078,2.06,5.3086,0.3714,70,arima
orders,6,P90,93.05,1.821,93.05,9.3052,1.0,70,arima
sales,1,P50,7.54,0.1668,-1.42,3.7686,0.4559,68,arima
sales,1,P90,22.67,0.5016,22.17,2.4652,0.9118,68,arima
sales,2,P50,5.98,0.1511,-1.25,2.9879,0.4928,69,arima
sales,2,P90,33.92,0.8576,33.92,3.392,1.0,69,arima
sales,3,P50,11.36,0.237,2.61,5.6811,0.4783,69,arima
sales,3,P90,44.71,0.9327,44.57,4.5271,0.971,69,arima
sales,4,P50,11.98,0.2338,1.91,5.9877,0.4571,70,arima
sales,4,P90,51.5,1.0056,51.5,5.1501,1.0,70,arima
sales,5,P50,8.67,0.1895,-0.37,4.3361,0.4571,70,arima
sales,5,P90,59.37,1.2976,59.37,5.9374,1.0,70,arima
sales,6,P50,14.59,0.2581,4.85,7.2929,0.4429,70,arima
sales,6,P90,70.58,1.2488,70.58,7.0575,1.0,70,arima
