ProductID,Forecast_EOM,Horizon_M,Pred_Orders_P50,Pred_Orders_P90,Pred_Sales_P50,Pred_Sales_P90,Run_Cutoff_EOM
416064,2025-12-30,1,11.39,53.4,24.68,43.14,2025-11-30
416064,2026-01-30,2,9.94,55.93,25.0,55.43,2025-11-30
416064,2026-02-28,3,3.73,61.6,26.47,56.52,2025-11-30
416064,2026-03-30,4,10.29,93.68,25.76,63.66,2025-11-30
416064,2026-04-30,5,4.82,76.78,25.87,74.58,2025-11-30
416064,2026-05-30,6,2.56,89.23,25.93,80.83,2025-11-30
471299,2025-12-30,1,80.45,146.9,93.87,141.1,2025-11-30
471299,2026-01-30,2,93.11,189.64,102.1,170.26,2025-11-30
471299,2026-02-28,3,74.67,190.97,104.75,187.46,2025-11-30
471299,2026-03-30,4,83.2,236.2,106.77,204.68,2025-11-30
471299,2026-04-30,5,62.34,197.94,106.36,223.19,2025-11-30
471299,2026-05-30,6,47.06,214.73,106.51,229.77,2025-11-30
472404,2025-12-30,1,65.43,111.85,81.31,117.92,2025-11-30
472404,2026-01-30,2,57.37,123.15,84.57,137.04,2025-11-30
472404,2026-02-28,3,60.56,141.86,85.12,149.82,2025-11-30
472404,2026-03-30,4,70.33,171.9,85.42,161.08,2025-11-30
472404,2026-04-30,5,45.89,145.16,85.39,172.48,2025-11-30
472404,2026-05-30,6,63.41,184.41,85.37,182.38,2025-11-30
550579,2025-12-30,1,42.43,91.74,43.48,81.45,2025-11-30
550579,2026-01-30,2,46.88,116.63,46.29,99.98,2025-11-30
550579,2026-02-28,3,49.98,135.4,48.54,114.3,2025-11-30
550579,2026-03-30,4,52.12,150.75,50.35,126.28,2025-11-30
550579,2026-04-30,5,53.61,163.88,51.81,136.7,2025-11-30
550579,2026-05-30,6,54.64,175.44,52.98,145.98,2025-11-30
568859,2025-12-30,1,59.55,135.28,60.84,125.96,2025-11-30
568859,2026-01-30,2,69.07,176.18,65.55,157.64,2025-11-30
568859,2026-02-28,3,75.76,206.95,69.35,182.13,2025-11-30
568859,2026-03-30,4,80.47,231.95,72.4,202.64,2025-11-30
568859,2026-04-30,5,83.78,253.14,74.87,220.47,2025-11-30
568859,2026-05-30,6,86.11,271.63,76.85,236.36,2025-11-30
594220,2025-12-30,1,28.72,40.24,43.2,52.99,2025-11-30
594220,2026-01-30,2,30.48,46.77,43.1,56.95,2025-11-30
594220,2026-02-28,3,30.94,50.89,43.15,60.11,2025-11-30
594220,2026-03-30,4,31.07,54.1,43.13,62.71,2025-11-30
594220,2026-04-30,5,31.1,56.85,43.14,65.03,2025-11-30
594220,2026-05-30,6,31.11,59.32,43.13,67.12,2025-11-30
594276,2025-12-30,1,18.86,27.19,17.28,26.26,2025-11-30
594276,2026-01-30,2,19.19,30.98,18.16,30.86,2025-11-30
594276,2026-02-28,3,19.32,33.76,18.39,33.96,2025-11-30
594276,2026-03-30,4,19.37,36.04,18.46,36.43,2025-11-30
594276,2026-04-30,5,19.39,38.03,18.47,38.56,2025-11-30
594276,2026-05-30,6,19.4,39.81,18.48,40.49,2025-11-30
