ProductID,Forecast_EOM,Horizon_M,Pred_Orders_P50,Pred_Orders_P90,Pred_Sales_P50,Pred_Sales_P90,Run_Cutoff_EOM
416064,2025-12-30,1,18.05,30.15,19.08,29.41,2025-11-30
416064,2026-01-30,2,14.07,32.95,24.07,29.37,2025-11-30
416064,2026-02-28,3,16.32,55.3,19.83,34.88,2025-11-30
416064,2026-03-30,4,38.9,33.31,20.61,45.33,2025-11-30
416064,2026-04-30,5,27.93,70.33,17.69,33.1,2025-11-30
416064,2026-05-30,6,20.96,27.26,17.54,32.93,2025-11-30
471299,2025-12-30,1,59.83,92.42,97.66,121.06,2025-11-30
471299,2026-01-30,2,59.14,97.15,81.69,104.63,2025-11-30
471299,2026-02-28,3,79.69,112.73,93.55,106.92,2025-11-30
471299,2026-03-30,4,66.06,143.96,94.14,129.39,2025-11-30
471299,2026-04-30,5,74.24,158.63,61.33,120.53,2025-11-30
471299,2026-05-30,6,72.81,122.27,58.67,115.81,2025-11-30
472404,2025-12-30,1,44.83,91.97,93.46,101.33,2025-11-30
472404,2026-01-30,2,54.13,102.81,71.49,92.73,2025-11-30
472404,2026-02-28,3,60.43,109.45,79.35,96.46,2025-11-30
472404,2026-03-30,4,54.07,140.22,86.04,130.2,2025-11-30
472404,2026-04-30,5,59.93,162.84,48.56,125.81,2025-11-30
472404,2026-05-30,6,66.73,132.55,65.31,124.6,2025-11-30
550579,2025-12-30,1,46.1,97.68,73.58,85.76,2025-11-30
550579,2026-01-30,2,57.98,98.61,53.05,70.33,2025-11-30
550579,2026-02-28,3,53.63,105.93,67.86,85.06,2025-11-30
550579,2026-03-30,4,80.48,119.16,90.97,139.92,2025-11-30
550579,2026-04-30,5,67.15,122.77,63.44,125.23,2025-11-30
550579,2026-05-30,6,96.94,125.2,82.2,121.06,2025-11-30
568859,2025-12-30,1,57.58,112.04,85.2,122.5,2025-11-30
568859,2026-01-30,2,78.62,115.3,69.11,128.81,2025-11-30
568859,2026-02-28,3,61.83,120.62,82.71,99.15,2025-11-30
568859,2026-03-30,4,104.46,109.0,113.74,149.52,2025-11-30
568859,2026-04-30,5,65.15,120.52,90.57,136.91,2025-11-30
568859,2026-05-30,6,97.23,123.98,100.42,145.28,2025-11-30
594220,2025-12-30,1,22.32,37.72,38.07,42.73,2025-11-30
594220,2026-01-30,2,28.96,32.06,35.48,40.63,2025-11-30
594220,2026-02-28,3,32.93,53.66,54.1,52.65,2025-11-30
594220,2026-03-30,4,34.04,37.11,40.54,54.12,2025-11-30
594220,2026-04-30,5,42.91,39.44,48.37,80.8,2025-11-30
594220,2026-05-30,6,54.7,24.85,43.08,54.56,2025-11-30
594276,2025-12-30,1,23.61,33.28,22.52,25.49,2025-11-30
594276,2026-01-30,2,14.66,19.64,23.55,30.87,2025-11-30
594276,2026-02-28,3,27.43,45.46,38.64,40.7,2025-11-30
594276,2026-03-30,4,18.39,28.48,31.59,28.27,2025-11-30
594276,2026-04-30,5,39.45,25.04,36.78,36.31,2025-11-30
594276,2026-05-30,6,36.09,24.66,30.29,31.44,2025-11-30
