ProductID,Forecast_EOM,Horizon_M,Demand_P90,RecommendedProductionQty,ActionLabel,LT_LeadTimeMonths_Used,Availability,Served,LostSales_M,LostSales_6M,FillRate_6M
416064,2025-12-30,1,53.4,43.0,SPEED,1,0.0,0.0,53.4,53.4,0.876
416064,2026-01-30,2,55.93,56.0,SPEED,1,55.93,55.93,0.0,53.4,0.876
416064,2026-02-28,3,61.6,62.0,SPEED,1,61.6,61.6,0.0,53.4,0.876
416064,2026-03-30,4,93.68,94.0,SPEED,1,93.68,93.68,0.0,53.4,0.876
416064,2026-04-30,5,76.78,77.0,SPEED,1,76.78,76.78,0.0,53.4,0.876
416064,2026-05-30,6,89.23,89.0,SPEED,1,89.23,89.23,0.0,53.4,0.876
471299,2025-12-30,1,146.9,118.0,SPEED,5,114.0,114.0,32.9,847.65,0.2794
471299,2026-01-30,2,189.64,152.0,SPEED,5,0.0,0.0,189.64,847.65,0.2794
471299,2026-02-28,3,190.97,153.0,SPEED,5,0.0,0.0,190.97,847.65,0.2794
471299,2026-03-30,4,236.2,189.0,SPEED,5,0.0,0.0,236.2,847.65,0.2794
471299,2026-04-30,5,197.94,158.0,SPEED,5,0.0,0.0,197.94,847.65,0.2794
471299,2026-05-30,6,214.73,215.0,SPEED,5,214.73,214.73,0.0,847.65,0.2794
472404,2025-12-30,1,111.85,89.0,SPEED,8,83.0,83.0,28.85,795.33,0.0945
472404,2026-01-30,2,123.15,99.0,SPEED,8,0.0,0.0,123.15,795.33,0.0945
472404,2026-02-28,3,141.86,113.0,SPEED,8,0.0,0.0,141.86,795.33,0.0945
472404,2026-03-30,4,171.9,138.0,SPEED,8,0.0,0.0,171.9,795.33,0.0945
472404,2026-04-30,5,145.16,116.0,SPEED,8,0.0,0.0,145.16,795.33,0.0945
472404,2026-05-30,6,184.41,148.0,SPEED,8,0.0,0.0,184.41,795.33,0.0945
550579,2025-12-30,1,91.74,73.0,SPEED,3,36.0,36.0,55.74,307.77,0.6309
550579,2026-01-30,2,116.63,93.0,SPEED,3,0.0,0.0,116.63,307.77,0.6309
550579,2026-02-28,3,135.4,108.0,SPEED,3,0.0,0.0,135.4,307.77,0.6309
550579,2026-03-30,4,150.75,151.0,SPEED,3,150.75,150.75,0.0,307.77,0.6309
550579,2026-04-30,5,163.88,164.0,SPEED,3,163.88,163.88,0.0,307.77,0.6309
550579,2026-05-30,6,175.44,175.0,SPEED,3,175.44,175.44,0.0,307.77,0.6309
568859,2025-12-30,1,135.28,108.0,SPEED,2,306.0,135.28,0.0,5.46,0.9957
568859,2026-01-30,2,176.18,141.0,SPEED,2,170.72,170.72,5.46,5.46,0.9957
568859,2026-02-28,3,206.95,207.0,SPEED,2,206.95,206.95,0.0,5.46,0.9957
568859,2026-03-30,4,231.95,232.0,SPEED,2,231.95,231.95,0.0,5.46,0.9957
568859,2026-04-30,5,253.14,253.0,SPEED,2,253.14,253.14,0.0,5.46,0.9957
568859,2026-05-30,6,271.63,272.0,SPEED,2,271.63,271.63,0.0,5.46,0.9957
594220,2025-12-30,1,40.24,32.0,SPEED,2,3.0,3.0,37.24,84.01,0.7274
594220,2026-01-30,2,46.77,37.0,SPEED,2,0.0,0.0,46.77,84.01,0.7274
594220,2026-02-28,3,50.89,51.0,SPEED,2,50.89,50.89,0.0,84.01,0.7274
594220,2026-03-30,4,54.1,54.0,SPEED,2,54.1,54.1,0.0,84.01,0.7274
594220,2026-04-30,5,56.85,57.0,SPEED,2,56.85,56.85,0.0,84.01,0.7274
594220,2026-05-30,6,59.32,59.0,SPEED,2,59.32,59.32,0.0,84.01,0.7274
594276,2025-12-30,1,27.19,22.0,SPEED,1,1.0,1.0,26.19,26.19,0.8727
594276,2026-01-30,2,30.98,31.0,SPEED,1,30.98,30.98,0.0,26.19,0.8727
594276,2026-02-28,3,33.76,34.0,SPEED,1,33.76,33.76,0.0,26.19,0.8727
594276,2026-03-30,4,36.04,36.0,SPEED,1,36.04,36.04,0.0,26.19,0.8727
594276,2026-04-30,5,38.03,38.0,SPEED,1,38.03,38.03,0.0,26.19,0.8727
594276,2026-05-30,6,39.81,40.0,SPEED,1,39.81,39.81,0.0,26.19,0.8727
